,Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,Diet,DietSource
267,Nesiotites,Eulipotyphla,Soricidae,Phylacine,22,1.342422681,Small,Non-Herbivore,Phylacine
268,Nesogoral,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
269,Nestoritherium,Perissodactyla,Chalicotheriidae,Family average,2779713.27,6.444,Large,Herbivore,Phylacine
270,Neurotrichus,Eulipotyphla,Talpidae,Phylacine,8.9,0.949390007,Small,Non-Herbivore,Phylacine
271,Nipponicervus,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
272,Niviventer,Rodentia,Muridae,Phylacine,86.31176471,1.936069996,Small,Herbivore,Phylacine
273,Nomascus,Primates,Hylobatidae,Phylacine,7833.333333,3.893946608,Large,Herbivore,Phylacine
274,Nyctalus,Chiroptera,Vespertilionidae,Phylacine,25.2875,1.402905896,Small,Non-Herbivore,Phylacine
275,Nyctereutes,Carnivora,Canidae,Cooke,10678.98708,4.028530061,Large,Non-Herbivore,Phylacine
276,Nycticebus,Primates,Lorisidae,Phylacine,962.1,2.983220215,Small,NA,NA
277,Ochotona,Lagomorpha,Ochotonidae,Phylacine,183.6066667,2.263888446,Small,Herbivore,Phylacine
278,Ochotonoides,Lagomorpha,Ochotonidae,Family average,183.6066667,2.263888446,Small,Herbivore,Phylacine
279,Orientalomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
280,Oryctolagus,Lagomorpha,Leporidae,Phylacine,1958.3,3.291879224,Large,Herbivore,Phylacine
281,Oryx,Cetartiodactyla,Bovidae,Phylacine,156675.325,5.195000604,Large,Herbivore,Phylacine
282,Ovibos,Cetartiodactyla,Bovidae,Phylacine,340501.1,5.532118519,Large,Herbivore,Phylacine
283,Ovis,Cetartiodactyla,Bovidae,Phylacine,92059.1,4.964066725,Large,Herbivore,Phylacine
284,Pachycrocuta,Carnivora,Hyaenidae,Cooke,125283.51,5.097893912,Large,Non-Herbivore,GroupAv
285,Pachygazella,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
286,Paenelimnoecus,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
287,Paguma,Carnivora,Viverridae,Phylacine,4300,3.633468456,Large,Non-Herbivore,Phylacine
288,Palaeoloxodon,Proboscidea,Elephantidae,Cooke,9250648.472,6.966172178,Large,Herbivore,Phylacine
289,Palaeotragus,Artiodactyla,Giraffidae,Cooke,413624.6357,5.616606398,Large,Herbivore,Phylacine
290,Pannonictis,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,GroupAv
291,Panthera,Carnivora,Felidae,Cooke,172276.0267,5.236224847,Large,Non-Herbivore,Phylacine
292,Papagomys,Rodentia,Muridae,Phylacine,854.05,2.931483297,Small,NA,NA
293,Papio,Primates,Cercopithecidae,Phylacine,19870.78333,4.298214988,Large,NA,NA
294,Parabubalis,Artiodactyla,Bovidae,Family average,131331.4,5.118368574,Large,Herbivore,GroupAv
295,Paracamelus,Artiodactyla,Camelidae,Cooke,1163743.252,6.065857176,Large,Herbivore,Phylacine
296,Paracervulus,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
297,Paradolichopithecus,Primates,Cercopithecidae,Family average,8486.364179,3.928721665,Large,Herbivore,Phylacine
298,Paradoxurus,Carnivora,Viverridae,Phylacine,2906.1,3.463310554,Large,Non-Herbivore,Phylacine
